index,lat_4326,long_4326,region,geometry,desert,preci_mm,preci_a_mm,agri_area,arable land_area,permanent crops_area,PVGIS_dl,altitude,GHI_KWh/a
0,-33.9,-71.49,Metropolitana de Santiago,POINT (269516.33420000086 6245944.838100001),Grave,454.3,-3.2,143370991.7512144,10557.95,3779.05,ok,315.0,1971.70735
1,-33.91,-71.28,Metropolitana de Santiago,POINT (289516.33420000057 6245944.838100001),Leve,430.4,1.6,98269711.2959614,6269.66,3557.4000000000005,ok,583.0,2056.70213
2,-33.73,-71.27,Metropolitana de Santiago,POINT (289516.33420000155 6265944.838100001),Leve,387.4,-1.7,207719880.50782967,17106.98,3664.9700000000003,ok,124.0,2053.09519
3,-33.55,-71.27,Metropolitana de Santiago,POINT (289516.334200001 6285944.838100002),Leve,375.6,-4.8,178125796.48218754,14313.02,3499.49,ok,265.0,2075.08069
4,-34.09,-71.06,Metropolitana de Santiago,POINT (309516.33420000086 6225944.838100001),Grave,479.5,-1.0,32970004.25054481,2448.71,848.21,ok,1098.0,1924.82472
5,-33.91,-71.06,Metropolitana de Santiago,POINT (309516.334200001 6245944.838100001),Grave,479.5,-1.0,5982201.846670191,480.61999999999995,117.60000000000001,ok,954.0,1933.61006
6,-33.73,-71.06,Metropolitana de Santiago,POINT (309516.33420000103 6265944.838100001),S/I,430.4,1.6,157002629.59215885,10731.64,4968.5599999999995,ok,288.0,2028.5229000000002
7,-33.55,-71.05,Metropolitana de Santiago,POINT (309516.33420000155 6285944.838100001),Leve,327.5,-4.4,194476346.2488204,12120.94,7326.5599999999995,ok,639.0,1871.2803299999998
8,-33.37,-71.05,Metropolitana de Santiago,POINT (309516.3342000017 6305944.838100001),Leve,327.5,-4.4,53466588.9812216,4023.96,1322.58,ok,658.0,2083.9284700000003
9,-33.91,-70.84,Metropolitana de Santiago,POINT (329516.3342000012 6245944.838100001),Leve,377.1,-5.4,85865005.39492622,6877.49,1708.93,ok,968.0,1936.9276599999998
10,-33.73,-70.84,Metropolitana de Santiago,POINT (329516.3342000016 6265944.838100001),S/I,377.1,-5.4,236668920.32224497,15124.039999999997,8542.6,ok,378.0,2037.60227
11,-33.55,-70.84,Metropolitana de Santiago,POINT (329516.3342000013 6285944.838100002),S/I,377.1,-5.4,146809067.89235458,11439.22,3241.6099999999997,ok,421.0,2080.58759
12,-33.37,-70.83,Metropolitana de Santiago,POINT (329516.33420000074 6305944.838100001),Moderada,234.1,-13.8,148439187.0828749,13156.02,1687.83,ok,475.0,2127.14971
13,-33.19,-70.83,Metropolitana de Santiago,POINT (329516.3342000012 6325944.838100001),Moderada,354.5,-7.8,117308498.34555858,9645.75,2085.12,ok,516.0,2075.98388
14,-33.01,-70.83,Metropolitana de Santiago,POINT (329516.3342000017 6345944.838100001),Grave,314.6,-3.1,28479901.030647848,2227.46,620.56,ok,918.0,2090.7322700000004
15,-33.74,-70.62,Metropolitana de Santiago,POINT (349516.3342000004 6265944.838100001),Leve,443.4,-4.2,232813176.79138547,13974.59,9306.56,ok,1404.0,1752.84683
16,-33.56,-70.62,Metropolitana de Santiago,POINT (349516.334200001 6285944.838100001),Urbano *1,429.9,-5.0,66267583.841020286,5987.129999999999,639.66,ok,628.0,2073.50438
17,-33.38,-70.62,Metropolitana de Santiago,POINT (349516.33420000115 6305944.838100001),Urbano *1,393.0,-10.0,13565949.407294517,1303.5300000000002,53.040000000000006,ok,528.0,1993.5141700000001
18,-33.19,-70.61,Metropolitana de Santiago,POINT (349516.3342000011 6325944.838100001),Moderada,393.0,-10.0,39697715.815870084,3413.1500000000005,556.62,ok,809.0,2059.0332799999996
19,-33.01,-70.61,Metropolitana de Santiago,POINT (349516.334200001 6345944.838100001),Moderada,282.6,-7.7,29216781.990480803,2016.7500000000002,904.96,ok,1254.0,2109.54552
